Category,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
Murder,4859, 4668,5398,3466,5760
Sexual Offences,11526,11387,12094,7296,12702
Attempted murder,4492,4429,4575,3487,5145
Assault with the intent to inflict grievous bodily harm,37336,37564,37425,22064,37530
Common assault,35727,36024,36185,25995,39406
Common robbery,12336,12711,12885,6469,10701
Robbery with aggravating circumstances,34545,34332,35705,21599,33876
Rape,9237,9018,9737,5805,10006
Sexual Assault,1499,1625,1668,1070,1900
Attempted Sexual Offences,463,451,454,271,514
Contact Sexual Offences,327,293,235,150,282
Carjacking,4028,4002,4550,2677,5146
Robbery at residential premises,5530,5535,5214,4006,5346
Robbery at non-residential premises,5133,4779,5100,3341,5255
Robbery of cash in transit,59,62,38,19,46
Bank robbery,4,1,0,0,1
Truck hijacking,288,334,283,198,411
Arson,928,945,943,633,978
Malicious damage to property,26960,26719,26224,18558,26326
Burglary at non-residential premises,18032,17827,17274,18840,14627
Burglary at residential premises,57736,55247,53433,37128,39477
Theft of motor vehicle and motorcycle,2817,12181,11835,5564,9433
Theft out of or from motor vehicle,33063,31651,31467,17533,21310
Stock-theft,7217,7969,7813,7345,6757
All theft not mentioned elsewhere,75313,74253,71704,45455,60056
Commercial crime,17771,21928,21316,15431,24030
Shoplifting,16041,14817,15747,9632,11281
Illegal possession of firearms and ammunition,4156,3883,3573,2747,3147
Drug-related crime,74287,76400,39964,18767,31648
Driving under the influence of alcohol or drugs,22016,19531,21853,3168,10964
Sexual Offences detected as a result of police action,1513,1708,2189,411,1428
